T1,T2,char
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,d
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,e
0.00E+00,0.00E+00,f
0.00E+00,0.00E+00,f
0.00E+00,0.00E+00,f
0.00E+00,0.00E+00,f
0.00E+00,0.00E+00,f
0.00E+00,0.00E+00,f
0.00E+00,0.00E+00,f
0.00E+00,0.00E+00,f
0.00E+00,0.00E+00,f
0.00E+00,0.00E+00,f
0.00E+00,0.00E+00,f
0.00E+00,0.00E+00,f
0.00E+00,0.00E+00,f
0.00E+00,0.00E+00,f
0.00E+00,0.00E+00,f
0.00E+00,0.00E+00,f
0.00E+00,0.00E+00,f
0.00E+00,0.00E+00,f
